,Pokemon Number,Stat Total,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,First Type,Second Type,First Ability,Second Ability,Hidden Ability,Generation,Egg Group 1,Egg Group 2,Is Sub Legendary,Is Legendary,Is Mythical,Is Fully Evolved
Darkrai,491,600,70,90,90,135,90,125,Dark,None,Bad Dreams,None,None,4,Undiscovered,None,FALSE,FALSE,TRUE,TRUE
Shaymin,492,600,100,100,100,100,100,100,Grass,None,Natural Cure,None,None,4,Undiscovered,None,FALSE,FALSE,TRUE,TRUE
Shaymin(Sky Forme),492,600,100,103,75,120,75,127,Grass,Flying,Serene Grace,None,None,4,Undiscovered,None,FALSE,FALSE,TRUE,TRUE
Arceus,493,720,120,120,120,120,120,120,Normal,None,Multitype,None,None,4,Undiscovered,None,FALSE,FALSE,TRUE,TRUE
Victini,494,600,100,100,100,100,100,100,Psychic,Fire,Victory Star,None,None,5,Undiscovered,None,FALSE,FALSE,TRUE,TRUE
Snivy,495,308,45,45,55,45,55,63,Grass,None,Overgrow,None,Contrary,5,Field,Grass,FALSE,FALSE,FALSE,FALSE
Servine,496,413,60,60,75,60,75,83,Grass,None,Overgrow,None,Contrary,5,Field,Grass,FALSE,FALSE,FALSE,FALSE
Serperior,497,528,75,75,95,75,95,113,Grass,None,Overgrow,None,Contrary,5,Field,Grass,FALSE,FALSE,FALSE,TRUE
Tepig,498,308,65,63,45,45,45,45,Fire,None,Blaze,None,Thick Fat,5,Field,None,FALSE,FALSE,FALSE,FALSE
Pignite,499,418,90,93,55,70,55,55,Fire,Fighting,Blaze,None,Thick Fat,5,Field,None,FALSE,FALSE,FALSE,FALSE
Emboar,500,528,110,123,65,100,65,65,Fire,Fighting,Blaze,None,Reckless,5,Field,None,FALSE,FALSE,FALSE,TRUE
Oshawott,501,308,55,55,45,63,45,45,Water,None,Torrent,None,Shell Armor,5,Field,None,FALSE,FALSE,FALSE,FALSE
Dewott,502,413,75,75,60,83,60,60,Water,None,Torrent,None,Shell Armor,5,Field,None,FALSE,FALSE,FALSE,FALSE
Samurott,503,528,95,100,85,108,70,70,Water,None,Torrent,None,Shell Armor,5,Field,None,FALSE,FALSE,FALSE,TRUE
Samurott(Hisuian Samurott),503,528,90,108,80,100,65,85,Water,Dark,Torrent,None,Sharpness,5,Field,None,FALSE,FALSE,FALSE,TRUE
Patrat,504,255,45,55,39,35,39,42,Normal,None,Run Away,Keen Eye,Analytic,5,Field,None,FALSE,FALSE,FALSE,FALSE
Watchog,505,420,60,85,69,60,69,77,Normal,None,Illuminate,Keen Eye,Analytic,5,Field,None,FALSE,FALSE,FALSE,TRUE
Lillipup,506,275,45,60,45,25,45,55,Normal,None,Vital Spirit,Pickup,Run Away,5,Field,None,FALSE,FALSE,FALSE,FALSE
Herdier,507,370,65,80,65,35,65,60,Normal,None,Intimidate,Sand Rush,Scrappy,5,Field,None,FALSE,FALSE,FALSE,FALSE
Stoutland,508,500,85,110,90,45,90,80,Normal,None,Intimidate,Sand Rush,Scrappy,5,Field,None,FALSE,FALSE,FALSE,TRUE
Purrloin,509,281,41,50,37,50,37,66,Dark,None,Limber,Unburden,Prankster,5,Field,None,FALSE,FALSE,FALSE,FALSE
Liepard,510,446,64,88,50,88,50,106,Dark,None,Limber,Unburden,Prankster,5,Field,None,FALSE,FALSE,FALSE,TRUE
Pansage,511,316,50,53,48,53,48,64,Grass,None,Gluttony,None,Overgrow,5,Field,None,FALSE,FALSE,FALSE,FALSE
Simisage,512,498,75,98,63,98,63,101,Grass,None,Gluttony,None,Overgrow,5,Field,None,FALSE,FALSE,FALSE,TRUE
Pansear,513,316,50,53,48,53,48,64,Fire,None,Gluttony,None,Blaze,5,Field,None,FALSE,FALSE,FALSE,FALSE
Simisear,514,498,75,98,63,98,63,101,Fire,None,Gluttony,None,Blaze,5,Field,None,FALSE,FALSE,FALSE,TRUE
Panpour,515,316,50,53,48,53,48,64,Water,None,Gluttony,None,Torrent,5,Field,None,FALSE,FALSE,FALSE,FALSE
Simipour,516,498,75,98,63,98,63,101,Water,None,Gluttony,None,Torrent,5,Field,None,FALSE,FALSE,FALSE,TRUE
Munna,517,292,76,25,45,67,55,24,Psychic,None,Forewarn,Synchronize,Telepathy,5,Field,None,FALSE,FALSE,FALSE,FALSE
Musharna,518,487,116,55,85,107,95,29,Psychic,None,Forewarn,Synchronize,Telepathy,5,Field,None,FALSE,FALSE,FALSE,TRUE
Pidove,519,264,50,55,50,36,30,43,Normal,Flying,Big Pecks,Super Luck,Rivalry,5,Flying,None,FALSE,FALSE,FALSE,FALSE
Tranquill,520,358,62,77,62,50,42,65,Normal,Flying,Big Pecks,Super Luck,Rivalry,5,Flying,None,FALSE,FALSE,FALSE,TRUE
Unfezant,521,488,80,115,80,65,55,93,Normal,Flying,Big Pecks,Super Luck,Rivalry,5,Flying,None,FALSE,FALSE,FALSE,TRUE
Blitzle,522,295,45,60,32,50,32,76,Electric,None,Lightning Rod,Motor Drive,Sap Sipper,5,Field,None,FALSE,FALSE,FALSE,FALSE
Zebstrika,523,497,75,100,63,80,63,116,Electric,None,Lightning Rod,Motor Drive,Sap Sipper,5,Field,None,FALSE,FALSE,FALSE,TRUE
Roggenrola,524,280,55,75,85,25,25,15,Rock,None,Sturdy,Weak Armor,Sand Force,5,Mineral,None,FALSE,FALSE,FALSE,FALSE
Boldore,525,390,70,105,105,50,40,20,Rock,None,Sturdy,Weak Armor,Sand Force,5,Mineral,None,FALSE,FALSE,FALSE,FALSE
Gigalith,526,515,85,135,130,60,80,25,Rock,None,Sturdy,Sand Stream,Sand Force,5,Mineral,None,FALSE,FALSE,FALSE,TRUE
Woobat,527,323,65,45,43,55,43,72,Psychic,Flying,Unaware,Klutz,Simple,5,Field,Flying,FALSE,FALSE,FALSE,FALSE
Swoobat,528,425,67,57,55,77,55,114,Psychic,Flying,Unaware,Klutz,Simple,5,Field,Flying,FALSE,FALSE,FALSE,TRUE
Drilbur,529,328,60,85,40,30,45,68,Ground,None,Sand Rush,Sand Force,Mold Breaker,5,Field,None,FALSE,FALSE,FALSE,FALSE
Excadrill,530,508,110,135,60,50,65,88,Ground,Steel,Sand Rush,Sand Force,Mold Breaker,5,Field,None,FALSE,FALSE,FALSE,TRUE
Audino,531,445,103,60,86,60,86,50,Normal,None,Healer,Regenerator,Klutz,5,Fairy,None,FALSE,FALSE,FALSE,TRUE
Timburr,532,305,75,80,55,25,35,35,Fighting,None,Guts,Sheer Force,Iron Fist,5,Human-Like,None,FALSE,FALSE,FALSE,FALSE
Gurdurr,533,405,85,105,85,40,50,40,Fighting,None,Guts,Sheer Force,Iron Fist,5,Human-Like,None,FALSE,FALSE,FALSE,FALSE
Conkeldurr,534,505,105,140,95,55,65,45,Fighting,None,Guts,Sheer Force,Iron Fist,5,Human-Like,None,FALSE,FALSE,FALSE,TRUE
Tympole,535,294,50,50,40,50,40,64,Water,None,Swift Swim,Hydration,Water Absorb,5,Water 1,None,FALSE,FALSE,FALSE,FALSE
Palpitoad,536,384,75,65,55,65,55,69,Water,Ground,Swift Swim,Hydration,Water Absorb,5,Water 1,None,FALSE,FALSE,FALSE,FALSE
Seismitoad,537,509,105,95,75,85,75,74,Water,Ground,Swift Swim,Poison Touch,Water Absorb,5,Water 1,None,FALSE,FALSE,FALSE,TRUE
Throh,538,465,120,100,85,30,85,45,Fighting,None,Guts,Inner Focus,Mold Breaker,5,Human-Like,None,FALSE,FALSE,FALSE,TRUE
Sawk,539,465,75,125,75,30,75,85,Fighting,None,Sturdy,Inner Focus,Mold Breaker,5,Human-Like,None,FALSE,FALSE,FALSE,TRUE
Sewaddle,540,310,45,53,70,40,60,42,Bug,Grass,Swarm,Chlorophyll,Overcoat,5,Bug,None,FALSE,FALSE,FALSE,FALSE
Swadloon,541,380,55,63,90,50,80,42,Bug,Grass,Leaf Guard,Chlorophyll,Overcoat,5,Bug,None,FALSE,FALSE,FALSE,FALSE
Leavanny,542,500,75,103,80,70,80,92,Bug,Grass,Swarm,Chlorophyll,Overcoat,5,Bug,None,FALSE,FALSE,FALSE,TRUE
Venipede,543,260,30,45,59,30,39,57,Bug,Poison,Poison Point,Swarm,Speed Boost,5,Bug,None,FALSE,FALSE,FALSE,FALSE
Whirlipede,544,360,40,55,99,40,79,47,Bug,Poison,Poison Point,Swarm,Speed Boost,5,Bug,None,FALSE,FALSE,FALSE,FALSE
Scolipede,545,485,60,100,89,55,69,112,Bug,Poison,Poison Point,Swarm,Speed Boost,5,Bug,None,FALSE,FALSE,FALSE,TRUE
Cottonee,546,280,40,27,60,37,50,66,Grass,Fairy,Prankster,Infiltrator,Chlorophyll,5,Fairy,Grass,FALSE,FALSE,FALSE,FALSE
Whimsicott,547,480,60,67,85,77,75,116,Grass,Fairy,Prankster,Infiltrator,Chlorophyll,5,Fairy,Grass,FALSE,FALSE,FALSE,TRUE
Petilil,548,280,45,35,50,70,50,30,Grass,None,Chlorophyll,Own Tempo,Leaf Guard,5,Grass,None,FALSE,FALSE,FALSE,FALSE
Lilligant,549,480,70,60,75,110,75,90,Grass,None,Chlorophyll,Own Tempo,Leaf Guard,5,Grass,None,FALSE,FALSE,FALSE,TRUE
Lilligant(Hisuian Lilligant),549,480,70,105,75,50,75,105,Grass,Fighting,Chlorophyll,Hustle,Leaf Guard,5,Grass,None,FALSE,FALSE,FALSE,TRUE
Basculin,550,460,70,92,65,80,55,98,Water,None,Reckless,Adaptability,Mold Breaker,5,Water 2,None,FALSE,FALSE,FALSE,FALSE
Sandile,551,292,50,72,35,35,35,65,Ground,Dark,Intimidate,Moxie,Anger Point,5,Field,None,FALSE,FALSE,FALSE,FALSE
Krokorok,552,351,60,82,45,45,45,74,Ground,Dark,Intimidate,Moxie,Anger Point,5,Field,None,FALSE,FALSE,FALSE,FALSE
Krookodile,553,519,95,117,80,65,70,92,Ground,Dark,Intimidate,Moxie,Anger Point,5,Field,None,FALSE,FALSE,FALSE,TRUE
Darumaka,554,315,70,90,45,15,45,50,Fire,None,Hustle,None,Inner Focus,5,Field,None,FALSE,FALSE,FALSE,FALSE
Darumaka(Galarian Darumaka),554,315,70,90,45,15,45,50,Ice,None,Hustle,None,Inner Focus,8,Field,None,FALSE,FALSE,FALSE,FALSE
Darmanitan(Zen Mode),555,540,105,30,105,140,105,55,Fire,Psychic,Sheer Force,None,Zen Mode,5,Field,None,FALSE,FALSE,FALSE,TRUE
Darmanitan(Galarian Zen Mode),555,540,105,160,55,30,55,135,Ice,Fire,Gorilla Tactics,None,Zen Mode,8,Field,None,FALSE,FALSE,FALSE,TRUE
Darmanitan,555,480,105,140,55,30,55,95,Fire,None,Sheer Force,None,Zen Mode,5,Field,None,FALSE,FALSE,FALSE,TRUE
Darmanitan(Galarian Standard Mode),555,480,105,140,55,30,55,95,Ice,None,Gorilla Tactics,None,Zen Mode,8,Field,None,FALSE,FALSE,FALSE,TRUE
Maractus,556,461,75,86,67,106,67,60,Grass,None,Water Absorb,Chlorophyll,Storm Drain,5,Grass,None,FALSE,FALSE,FALSE,TRUE
Dwebble,557,325,50,65,85,35,35,55,Bug,Rock,Sturdy,Shell Armor,Weak Armor,5,Bug,Mineral,FALSE,FALSE,FALSE,FALSE
Crustle,558,485,70,105,125,65,75,45,Bug,Rock,Sturdy,Shell Armor,Weak Armor,5,Bug,Mineral,FALSE,FALSE,FALSE,TRUE
Scraggy,559,348,50,75,70,35,70,48,Dark,Fighting,Shed Skin,Moxie,Intimidate,5,Dragon,Field,FALSE,FALSE,FALSE,FALSE
Scrafty,560,488,65,90,115,45,115,58,Dark,Fighting,Shed Skin,Moxie,Intimidate,5,Dragon,Field,FALSE,FALSE,FALSE,TRUE
Sigilyph,561,490,72,58,80,103,80,97,Psychic,Flying,Wonder Skin,Magic Guard,Tinted Lens,5,Flying,None,FALSE,FALSE,FALSE,TRUE
Yamask,562,303,38,30,85,55,65,30,Ghost,None,Mummy,None,None,5,Amorphous,Mineral,FALSE,FALSE,FALSE,FALSE
Yamask(Galarian Yamask),562,303,38,55,85,30,65,30,Ground,Ghost,Wandering Spirit,None,None,8,Amorphous,Mineral,FALSE,FALSE,FALSE,FALSE
Cofagrigus,563,483,58,50,145,95,105,30,Ghost,None,Mummy,None,None,5,Amorphous,Mineral,FALSE,FALSE,FALSE,TRUE
Tirtouga,564,355,54,78,103,53,45,22,Water,Rock,Solid Rock,Sturdy,Swift Swim,5,Water 1,Water 3,FALSE,FALSE,FALSE,FALSE
Carracosta,565,495,74,108,133,83,65,32,Water,Rock,Solid Rock,Sturdy,Swift Swim,5,Water 1,Water 3,FALSE,FALSE,FALSE,TRUE
Archen,566,401,55,112,45,74,45,70,Rock,Flying,Defeatist,None,None,5,Flying,Water 3,FALSE,FALSE,FALSE,FALSE
Archeops,567,567,75,140,65,112,65,110,Rock,Flying,Defeatist,None,None,5,Flying,Water 3,FALSE,FALSE,FALSE,TRUE
Trubbish,568,329,50,50,62,40,62,65,Poison,None,Stench,Sticky Hold,Aftermath,5,Mineral,None,FALSE,FALSE,FALSE,FALSE
Garbodor,569,474,80,95,82,60,82,75,Poison,None,Stench,Weak Armor,Aftermath,5,Mineral,None,FALSE,FALSE,FALSE,TRUE
Zorua,570,330,40,65,40,80,40,65,Dark,None,Illusion,None,None,5,Field,None,FALSE,FALSE,FALSE,FALSE
Zorua(Hisuian Zorua),570,330,35,60,40,85,40,70,Normal,Ghost,Illusion,None,None,5,Field,None,FALSE,FALSE,FALSE,FALSE
Zoroark,571,510,60,105,60,120,60,105,Dark,None,Illusion,None,None,5,Field,None,FALSE,FALSE,FALSE,TRUE
Zoroark(Hisuian Zoroark),571,510,60,105,60,120,60,105,Normal,Ghost,Illusion,None,None,5,Field,None,FALSE,FALSE,FALSE,TRUE
Minccino,572,300,55,50,40,40,40,75,Normal,None,Cute Charm,Technician,Skill Link,5,Field,None,FALSE,FALSE,FALSE,FALSE
Cinccino,573,470,75,95,60,65,60,115,Normal,None,Cute Charm,Technician,Skill Link,5,Field,None,FALSE,FALSE,FALSE,TRUE
Gothita,574,290,45,30,50,55,65,45,Psychic,None,Frisk,Competitive,Shadow Tag,5,Human-Like,None,FALSE,FALSE,FALSE,FALSE
Gothorita,575,390,60,45,70,75,85,55,Psychic,None,Frisk,Competitive,Shadow Tag,5,Human-Like,None,FALSE,FALSE,FALSE,FALSE
Gothitelle,576,490,70,55,95,95,110,65,Psychic,None,Frisk,Competitive,Shadow Tag,5,Human-Like,None,FALSE,FALSE,FALSE,TRUE
Solosis,577,290,45,30,40,105,50,20,Psychic,None,Overcoat,Magic Guard,Regenerator,5,Amorphous,None,FALSE,FALSE,FALSE,FALSE
Duosion,578,370,65,40,50,125,60,30,Psychic,None,Overcoat,Magic Guard,Regenerator,5,Amorphous,None,FALSE,FALSE,FALSE,FALSE
Reuniclus,579,490,110,65,75,125,85,30,Psychic,None,Overcoat,Magic Guard,Regenerator,5,Amorphous,None,FALSE,FALSE,FALSE,TRUE
Ducklett,580,305,62,44,50,44,50,55,Water,Flying,Keen Eye,Big Pecks,Hydration,5,Flying,Water 1,FALSE,FALSE,FALSE,FALSE
Swanna,581,473,75,87,63,87,63,98,Water,Flying,Keen Eye,Big Pecks,Hydration,5,Flying,Water 1,FALSE,FALSE,FALSE,TRUE
Vanillite,582,305,36,50,50,65,60,44,Ice,None,Ice Body,Snow Cloak,Weak Armor,5,Mineral,None,FALSE,FALSE,FALSE,FALSE
Vanillish,583,395,51,65,65,80,75,59,Ice,None,Ice Body,Snow Cloak,Weak Armor,5,Mineral,None,FALSE,FALSE,FALSE,FALSE
Vanilluxe,584,535,71,95,85,110,95,79,Ice,None,Ice Body,Snow Warning,Weak Armor,5,Mineral,None,FALSE,FALSE,FALSE,TRUE
Deerling,585,335,60,60,50,40,50,75,Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,5,Field,None,FALSE,FALSE,FALSE,FALSE
Sawsbuck,586,475,80,100,70,60,70,95,Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,5,Field,None,FALSE,FALSE,FALSE,TRUE
Emolga,587,428,55,75,60,75,60,103,Electric,Flying,Static,None,Motor Drive,5,Field,None,FALSE,FALSE,FALSE,TRUE
Karrablast,588,315,50,75,45,40,45,60,Bug,None,Swarm,Shed Skin,No Guard,5,Bug,None,FALSE,FALSE,FALSE,FALSE
Escavalier,589,495,70,135,105,60,105,20,Bug,Steel,Swarm,Shell Armor,Overcoat,5,Bug,None,FALSE,FALSE,FALSE,TRUE
Foongus,590,294,69,55,45,55,55,15,Grass,Poison,Effect Spore,None,Regenerator,5,Grass,None,FALSE,FALSE,FALSE,FALSE
Amoonguss,591,464,114,85,70,85,80,30,Grass,Poison,Effect Spore,None,Regenerator,5,Grass,None,FALSE,FALSE,FALSE,TRUE
Frillish,592,335,55,40,50,65,85,40,Water,Ghost,Water Absorb,Cursed Body,Damp,5,Amorphous,None,FALSE,FALSE,FALSE,FALSE
Jellicent,593,480,100,60,70,85,105,60,Water,Ghost,Water Absorb,Cursed Body,Damp,5,Amorphous,None,FALSE,FALSE,FALSE,TRUE
Alomomola,594,470,165,75,80,40,45,65,Water,None,Healer,Hydration,Regenerator,5,Water 1,Water 2,FALSE,FALSE,FALSE,TRUE
Joltik,595,319,50,47,50,57,50,65,Bug,Electric,Compound Eyes,Unnerve,Swarm,5,Bug,None,FALSE,FALSE,FALSE,FALSE
Galvantula,596,472,70,77,60,97,60,108,Bug,Electric,Compound Eyes,Unnerve,Swarm,5,Bug,None,FALSE,FALSE,FALSE,TRUE
Ferroseed,597,305,44,50,91,24,86,10,Grass,Steel,Iron Barbs,None,None,5,Grass,Mineral,FALSE,FALSE,FALSE,FALSE
Ferrothorn,598,489,74,94,131,54,116,20,Grass,Steel,Iron Barbs,None,Anticipation,5,Grass,Mineral,FALSE,FALSE,FALSE,TRUE
Klink,599,300,40,55,70,45,60,30,Steel,None,Plus,Minus,Clear Body,5,Mineral,None,FALSE,FALSE,FALSE,FALSE
Klang,600,440,60,80,95,70,85,50,Steel,None,Plus,Minus,Clear Body,5,Mineral,None,FALSE,FALSE,FALSE,FALSE
Klinklang,601,520,60,100,115,70,85,90,Steel,None,Plus,Minus,Clear Body,5,Mineral,None,FALSE,FALSE,FALSE,TRUE
Tynamo,602,275,35,55,40,45,40,60,Electric,None,Levitate,None,None,5,Amorphous,None,FALSE,FALSE,FALSE,FALSE
Eelektrik,603,405,65,85,70,75,70,40,Electric,None,Levitate,None,None,5,Amorphous,None,FALSE,FALSE,FALSE,FALSE
Eelektross,604,515,85,115,80,105,80,50,Electric,None,Levitate,None,None,5,Amorphous,None,FALSE,FALSE,FALSE,TRUE
Elgyem,605,335,55,55,55,85,55,30,Psychic,None,Telepathy,Synchronize,Analytic,5,Human-Like,None,FALSE,FALSE,FALSE,FALSE
Beheeyem,606,485,75,75,75,125,95,40,Psychic,None,Telepathy,Synchronize,Analytic,5,Human-Like,None,FALSE,FALSE,FALSE,TRUE
Litwick,607,275,50,30,55,65,55,20,Ghost,Fire,Flash Fire,Flame Body,Infiltrator,5,Amorphous,None,FALSE,FALSE,FALSE,FALSE
Lampent,608,370,60,40,60,95,60,55,Ghost,Fire,Flash Fire,Flame Body,Infiltrator,5,Amorphous,None,FALSE,FALSE,FALSE,FALSE
Chandelure,609,520,60,55,90,145,90,80,Ghost,Fire,Flash Fire,Flame Body,Infiltrator,5,Amorphous,None,FALSE,FALSE,FALSE,TRUE
Axew,610,320,46,87,60,30,40,57,Dragon,None,Rivalry,Mold Breaker,Unnerve,5,Dragon,Monster,FALSE,FALSE,FALSE,FALSE
Fraxure,611,410,66,117,70,40,50,67,Dragon,None,Rivalry,Mold Breaker,Unnerve,5,Dragon,Monster,FALSE,FALSE,FALSE,FALSE
Haxorus,612,540,76,147,90,60,70,97,Dragon,None,Rivalry,Mold Breaker,Unnerve,5,Dragon,Monster,FALSE,FALSE,FALSE,TRUE
Cubchoo,613,305,55,70,40,60,40,40,Ice,None,Snow Cloak,Slush Rush,Rattled,5,Field,None,FALSE,FALSE,FALSE,FALSE
Beartic,614,505,95,130,80,70,80,50,Ice,None,Snow Cloak,Slush Rush,Swift Swim,5,Field,None,FALSE,FALSE,FALSE,TRUE
Cryogonal,615,515,80,50,50,95,135,105,Ice,None,Levitate,None,None,5,Mineral,None,FALSE,FALSE,FALSE,TRUE
Shelmet,616,305,50,40,85,40,65,25,Bug,None,Hydration,Shell Armor,Overcoat,5,Bug,None,FALSE,FALSE,FALSE,FALSE
Accelgor,617,495,80,70,40,100,60,145,Bug,None,Hydration,Sticky Hold,Unburden,5,Bug,None,FALSE,FALSE,FALSE,TRUE
Stunfisk,618,471,109,66,84,81,99,32,Ground,Electric,Static,Limber,Sand Veil,5,Amorphous,Water 1,FALSE,FALSE,FALSE,TRUE
Stunfisk(Galarian Stunfisk),618,471,109,81,99,66,84,32,Ground,Steel,Mimicry,None,None,8,Amorphous,Water 1,FALSE,FALSE,FALSE,TRUE
Mienfoo,619,350,45,85,50,55,50,65,Fighting,None,Inner Focus,Regenerator,Reckless,5,Field,Human-Like,FALSE,FALSE,FALSE,FALSE
Mienshao,620,510,65,125,60,95,60,105,Fighting,None,Inner Focus,Regenerator,Reckless,5,Field,Human-Like,FALSE,FALSE,FALSE,TRUE
Druddigon,621,485,77,120,90,60,90,48,Dragon,None,Rough Skin,Sheer Force,Mold Breaker,5,Dragon,Monster,FALSE,FALSE,FALSE,TRUE
Golett,622,303,59,74,50,35,50,35,Ground,Ghost,Iron Fist,Klutz,No Guard,5,Mineral,None,FALSE,FALSE,FALSE,FALSE
Golurk,623,483,89,124,80,55,80,55,Ground,Ghost,Iron Fist,Klutz,No Guard,5,Mineral,None,FALSE,FALSE,FALSE,TRUE
Pawniard,624,340,45,85,70,40,40,60,Dark,Steel,Defiant,Inner Focus,Pressure,5,Human-Like,None,FALSE,FALSE,FALSE,FALSE
Bisharp,625,490,65,125,100,60,70,70,Dark,Steel,Defiant,Inner Focus,Pressure,5,Human-Like,None,FALSE,FALSE,FALSE,TRUE
Bouffalant,626,490,95,110,95,40,95,55,Normal,None,Reckless,Sap Sipper,Soundproof,5,Field,None,FALSE,FALSE,FALSE,TRUE
Rufflet,627,350,70,83,50,37,50,60,Normal,Flying,Keen Eye,Sheer Force,Hustle,5,Flying,None,FALSE,FALSE,FALSE,FALSE
Braviary,628,510,100,123,75,57,75,80,Normal,Flying,Keen Eye,Sheer Force,Defiant,5,Flying,None,FALSE,FALSE,FALSE,TRUE
Braviary(Hisuian Braviary),628,510,110,83,70,112,70,65,Psychic,Flying,Keen Eye,Sheer Force,Tinted Lens,5,Flying,None,FALSE,FALSE,FALSE,TRUE
Vullaby,629,370,70,55,75,45,65,60,Dark,Flying,Big Pecks,Overcoat,Weak Armor,5,Flying,None,FALSE,FALSE,FALSE,FALSE
Mandibuzz,630,510,110,65,105,55,95,80,Dark,Flying,Big Pecks,Overcoat,Weak Armor,5,Flying,None,FALSE,FALSE,FALSE,TRUE
Heatmor,631,484,85,97,66,105,66,65,Fire,None,Gluttony,Flash Fire,White Smoke,5,Field,None,FALSE,FALSE,FALSE,TRUE
Durant,632,484,58,109,112,48,48,109,Bug,Steel,Swarm,Hustle,Truant,5,Bug,None,FALSE,FALSE,FALSE,TRUE
Deino,633,300,52,65,50,45,50,38,Dark,Dragon,Hustle,None,None,5,Dragon,None,FALSE,FALSE,FALSE,FALSE
Zweilous,634,420,72,85,70,65,70,58,Dark,Dragon,Hustle,None,None,5,Dragon,None,FALSE,FALSE,FALSE,FALSE
Hydreigon,635,600,92,105,90,125,90,98,Dark,Dragon,Levitate,None,None,5,Dragon,None,FALSE,FALSE,FALSE,TRUE
Larvesta,636,360,55,85,55,50,55,60,Bug,Fire,Flame Body,None,Swarm,5,Bug,None,FALSE,FALSE,FALSE,FALSE
Volcarona,637,550,85,60,65,135,105,100,Bug,Fire,Flame Body,None,Swarm,5,Bug,None,FALSE,FALSE,FALSE,TRUE
Cobalion,638,580,91,90,129,90,72,108,Steel,Fighting,Justified,None,None,5,Undiscovered,None,TRUE,FALSE,FALSE,TRUE
Terrakion,639,580,91,129,90,72,90,108,Rock,Fighting,Justified,None,None,5,Undiscovered,None,TRUE,FALSE,FALSE,TRUE
Virizion,640,580,91,90,72,90,129,108,Grass,Fighting,Justified,None,None,5,Undiscovered,None,TRUE,FALSE,FALSE,TRUE
Tornadus,641,580,79,115,70,125,80,111,Flying,None,Prankster,None,Defiant,5,Undiscovered,None,TRUE,FALSE,FALSE,TRUE
Tornadus(Therian Forme),641,580,79,100,80,110,90,121,Flying,None,Regenerator,None,None,5,Undiscovered,None,TRUE,FALSE,FALSE,TRUE
Thundurus,642,580,79,115,70,125,80,111,Electric,Flying,Prankster,None,Defiant,5,Undiscovered,None,TRUE,FALSE,FALSE,TRUE
Thundurus(Therian Forme),642,580,79,105,70,145,80,101,Electric,Flying,Volt Absorb,None,None,5,Undiscovered,None,TRUE,FALSE,FALSE,TRUE
Reshiram,643,680,100,120,100,150,120,90,Dragon,Fire,Turboblaze,None,None,5,Undiscovered,None,FALSE,TRUE,FALSE,TRUE
Zekrom,644,680,100,150,120,120,100,90,Dragon,Electric,Teravolt,None,None,5,Undiscovered,None,FALSE,TRUE,FALSE,TRUE
Landorus,645,600,89,125,90,115,80,101,Ground,Flying,Sand Force,None,Sheer Force,5,Undiscovered,None,TRUE,FALSE,FALSE,TRUE
Landorus(Therian Forme),645,600,89,145,90,105,80,91,Ground,Flying,Intimidate,None,None,5,Undiscovered,None,TRUE,FALSE,FALSE,TRUE
Kyurem(White Kyurem),646,700,125,120,90,170,100,95,Dragon,Ice,Turboblaze,None,None,5,Undiscovered,None,FALSE,TRUE,FALSE,TRUE
Kyurem(Black Kyurem),646,700,125,170,100,120,90,95,Dragon,Ice,Teravolt,None,None,5,Undiscovered,None,FALSE,TRUE,FALSE,TRUE
Kyurem,646,660,125,130,90,130,90,95,Dragon,Ice,Pressure,None,None,5,Undiscovered,None,FALSE,TRUE,FALSE,TRUE
Keldeo,647,580,91,72,90,129,90,108,Water,Fighting,Justified,None,None,5,Undiscovered,None,FALSE,FALSE,TRUE,TRUE
Keldeo(Resolute Form),647,580,91,72,90,129,90,108,Water,Fighting,Justified,None,None,5,Undiscovered,None,FALSE,FALSE,TRUE,TRUE
Meloetta,648,600,100,77,77,128,128,90,Normal,Psychic,Serene Grace,None,None,5,Undiscovered,None,FALSE,FALSE,TRUE,TRUE
Meloetta(Pirouette Forme),648,600,100,128,90,77,77,128,Normal,Fighting,Serene Grace,None,None,5,Undiscovered,None,FALSE,FALSE,TRUE,TRUE
Genesect,649,600,71,120,95,120,95,99,Bug,Steel,Download,None,None,5,Undiscovered,None,FALSE,FALSE,TRUE,TRUE
Chespin,650,313,56,61,65,48,45,38,Grass,None,Overgrow,None,Bulletproof,6,Field,None,FALSE,FALSE,FALSE,FALSE
Quilladin,651,405,61,78,95,56,58,57,Grass,None,Overgrow,None,Bulletproof,6,Field,None,FALSE,FALSE,FALSE,FALSE
Chesnaught,652,530,88,107,122,74,75,64,Grass,Fighting,Overgrow,None,Bulletproof,6,Field,None,FALSE,FALSE,FALSE,TRUE
Fennekin,653,307,40,45,40,62,60,60,Fire,None,Blaze,None,Magician,6,Field,None,FALSE,FALSE,FALSE,FALSE
Braixen,654,409,59,59,58,90,70,73,Fire,None,Blaze,None,Magician,6,Field,None,FALSE,FALSE,FALSE,FALSE
Delphox,655,534,75,69,72,114,100,104,Fire,Psychic,Blaze,None,Magician,6,Field,None,FALSE,FALSE,FALSE,TRUE
Froakie,656,314,41,56,40,62,44,71,Water,None,Torrent,None,Protean,6,Water 1,None,FALSE,FALSE,FALSE,FALSE
